Compound ID,Compound Name,CAS,Index     #,Alternate Name(s),Formula ,SMILES (pubchem),c,e,s,a,b,l,ref,E,S,A,B,V,L,ref
34,isobutanol,78-83-1,696,"2-methyl-1-propanol, isobutyl alcohol",C4H10O,CC(C)CO,-0.003,-0.357,0.699,3.595,1.247,0.881,iso-Butanol/Dry/2010,0.22,0.39,0.37,0.48,0.7309,2.413,LSER Database for CompTox Users (2017)
35,methanol,67-56-1,194,carbinol,CH4O,CO,-0.039,-0.338,1.317,3.826,1.396,0.773,MeOH/Dry/2010,0.28,0.44,0.43,0.47,0.3082,0.97,LSER Database for CompTox Users (2017)
36,m-xylene,108-38-3,1435,"1,3-dimethylbenzene",C8H10,CC1=CC(=CC=C1)C,0.071,-0.423,1.068,0.552,0.000,1.014,m-Xylene (2011),0.62,0.52,0,0.16,0.9982,3.839,LSER Database for CompTox Users (2017)
37,heptane,142-82-5,1366,,C7H16,CCCCCCC,0.284,0.000,0.000,0.000,0.000,0.950,"Heptane, 2012",0,0,0,0,1.0949,3.173,LSER Database for CompTox Users (2017)
38,hexadecane,544-76-3,2079,,C16H34,CCCCCCCCCCCCCCCC,0.000,0.000,0.000,0.000,0.000,1.000,Hexadecane,0,0,0,0,2.363,7.714,LSER Database for CompTox Users (2017)
39,hexane,110-54-3,1144,,C6H14,CCCCCC,0.320,0.000,0.000,0.000,0.000,0.945,"Hexane, 2012",0,0,0,0,0.954,2.668,LSER Database for CompTox Users (2017)
41,nitromethane,75-52-5,189,,CH3NO2,C[N+](=O)[O-],-0.340,-0.297,2.689,2.193,0.514,0.728,Nitromethane,0.31,0.95,0.06,0.32,0.4237,1.892,LSER Database for CompTox Users (2017)
42,nonane,111-84-2,1708,,C9H20,CCCCCCCCC,0.193,0.000,0.000,0.000,0.000,0.964,"Nonane, est",0,0,0,0,1.3767,4.182,LSER Database for CompTox Users (2017)
43,octane,111-65-9,1560,,C8H18,CCCCCCCC,0.219,0.000,0.000,0.000,0.000,0.960,"Octane, 2012",0,0,0,0,1.2358,3.677,LSER Database for CompTox Users (2017)
44,o-xylene,95-47-6,1434,"1,2-dimethylbenzene",C8H10,CC1=CC=CC=C1C,0.064,-0.296,0.934,0.647,0.000,1.010,o-Xylene (2011),0.66,0.56,0,0.16,0.9982,3.939,LSER Database for CompTox Users (2017)
47,p-xylene,106-42-3,1436,"1,4-dimethylbenzene",C8H10,CC1=CC=C(C=C1)C,0.113,-0.302,0.826,0.651,0.000,1.011,p-Xylene (2011),0.61,0.52,0,0.16,0.9982,3.839,LSER Database for CompTox Users (2017)
48,pyridine,110-86-1,758,azine,C5H5N,C1=CC=NC=C1,-0.145,-0.416,1.915,4.443,0.000,0.946,Pyridine,0.63,0.84,0,0.52,0.6753,3.022,LSER Database for CompTox Users (2017)
49,s⁢e⁢c-butanol,78-92-2,693,"2-butanol, sec. butyl alcohol",C4H10O,CCC(C)O,-0.034,-0.387,0.719,3.736,1.088,0.905,2-Butanol/dry/2010,0.22,0.36,0.33,0.56,0.7309,2.338,LSER Database for CompTox Users (2017)
50,t-butanol*,75-65-0,697,"2-methyl-2-propanol, tert butyl alcohol",C4H10O,CC(C)(C)O,0.053,-0.443,0.699,4.026,0.882,0.907,tert-Butanol/Dry/2010,0.18,0.3,0.31,0.6,0.7309,1.963,LSER Database for CompTox Users (2017)
51,tetrahydrofuran,109-99-9,630,"1,4-epoxybutane, tetramethylene epoxide",C4H8O,C1CCOC1,0.189,-0.347,1.238,3.289,0.000,0.982,Tetrahydrofuran,0.29,0.52,0,0.48,0.6223,2.636,LSER Database for CompTox Users (2017)
52,toluene,108-88-3,1263,methyl benzene,C7H8,CC1=CC=CC=C1,0.085,-0.400,1.063,0.501,0.154,1.011,"Toluene, 2011 ",0.6,0.52,0,0.14,0.8573,3.325,LSER Database for CompTox Users (2017)
53,trichloromethane,67-66-3,163,chloroform,CHCl3,C(Cl)(Cl)Cl,0.157,-0.560,1.259,0.374,1.333,0.976,Trichloromethane/2009,0.43,0.49,0.15,0.02,0.6167,2.48,LSER Database for CompTox Users (2017)
56,"1,4-dioxane ",123-91-1,640,glycol ethylene ether,C4H8O2,C1COCCO1,-0.034,-0.354,1.674,3.021,0.000,0.919,"1,4-Dioxane",0.33,0.75,0,0.64,0.681,2.892,LSER Database for CompTox Users (2017)
57,butanonitrile ,109-74-0,604,"butyronitrile, butanoic acid nitrile, propyl cyanide",C4H7N,CCCC#N,0.154,-0.262,1.694,2.214,0.349,0.834,Butyronitrile/2017 PCL paper,0.19,0.9,0,0.36,0.686,2.548,LSER Database for CompTox Users (2017)
58,ethyl ethanoate,141-78-6,636,"ethyl acetate, acetic acid ethyl ester",C4H8O2,CCOC(=O)C,0.182,-0.352,1.316,2.891,0.000,0.916,Ethyl acetate/Dry,0.11,0.62,0,0.45,0.7466,2.314,LSER Database for CompTox Users (2017)
66,cyclohexanone,108-94-1,1028,pimelic ketone,C6H10O,C1CCC(=O)CC1,-0.086,-0.441,1.725,2.786,0.000,0.957,Cyclohexanone,0.4,0.86,0,0.56,0.8611,3.792,LSER Database for CompTox Users (2017)
68,ethylbenzene,100-41-4,1437,,C8H10,CCC1=CC=CC=C1,0.059,-0.295,0.924,0.573,0.098,1.010,Ethylbenzene (2011),0.61,0.51,0,0.15,0.9982,3.778,
70,pentane,109-66-0,894, ,C5H12,CCCCC,0.351,0.000,0.000,0.000,0.000,0.953,"Pentane, re-done",0,0,0,0,0.8131,2.162,LSER Database for CompTox Users (2017)
76,aniline,62-53-3,997,aminobenzene,C6H7N,C1=CC=C(C=C1)N,-0.394,-0.362,1.895,2.421,1.334,0.842,"Aniline,d, 2015",0.96,0.96,0.26,0.41,0.8162,3.934,LSER Database for CompTox Users (2017)
78,decane,124-18-5,1865,,C10H22,CCCCCCCCCC,0.159,0.000,0.000,0.000,0.000,0.972,"Decane, 2012",0,0,0,0,1.5176,4.686,LSER Database for CompTox Users (2017)
79,dodecane,112-40-3,2003,,C12H26,CCCCCCCCCCCC,0.017,0.000,0.000,0.000,0.000,0.989,"Dodecane, 2004",0,0,0,0,1.7994,5.696,LSER Database for CompTox Users (2017)
82,"n,n-dimethylformamide",68-12-2,468,dimethylformamide,C3H7NO,CN(C)C=O,-0.391,-0.869,2.107,3.774,0.000,1.011,Dimethylformamide,0.37,1.31,0,0.73,0.6468,3.173,LSER Database for CompTox Users (2017)
83,nitrobenzene,98-95-3,981,,C6H5NO2,C1=CC=C(C=C1)[N+](=O)[O-],-0.296,0.092,1.707,1.147,0.443,0.912,Nitrobenzene/wd,0.87,1.11,0,0.28,0.8906,4.557,LSER Database for CompTox Users (2017)
100,1-heptanol,111-70-6,1377,enanthic alcohol,C7H16O,CCCCCCCO,-0.056,-0.216,0.554,3.596,0.803,0.933,HeptOH/Dry/2010,0.21,0.42,0.37,0.48,1.1536,4.115,LSER Database for CompTox Users (2017)
103,1-nonanol,143-08-8,1712,pelargonic alcohol,C9H20O,CCCCCCCCCO,-0.105,-0.146,0.431,3.532,0.694,0.954,NonOH/Dry/Est,0.19,0.42,0.37,0.48,1.4354,5.124,LSER Database for CompTox Users (2017)
115,acetic acid,64-19-7,290,ethanoic acid,C2H4O2,CC(=O)O,-0.070,-0.366,1.300,2.736,2.117,0.796,Acetic acid,0.27,0.65,0.61,0.45,0.4648,1.75,LSER Database for CompTox Users (2017)
121,butanone,78-93-3,626,"methyl ethyl ketone, 2-butanone",C4H8O,CCC(=O)C,0.112,-0.474,1.671,2.878,0.000,0.916,Butanone,0.17,0.7,0,0.51,0.6879,2.287,LSER Database for CompTox Users (2017)
122,butyl ethanoate,123-86-4,1104,"butyl acetate, acetic acid butyl ester",C6H12O2,CCCCOC(=O)C,0.147,-0.414,1.212,2.623,0.000,0.954,n-Butyl acetate/Dry,0.07,0.6,0,0.45,1.0284,3.353,LSER Database for CompTox Users (2017)
128,dimethylacetamide,127-19-5,675,"n,n-dimethyl acetic acid amide",C4H9NO,CC(=O)N(C)C,-0.308,-0.736,1.802,4.361,0.000,1.028,Dimethylacetamide,0.36,1.35,0,0.77,0.7877,3.638,
134,ethylene glycol,107-21-1,321,"1,2-ethanediol",C2H6O2,C(CO)O,-0.887,0.132,1.657,4.457,2.355,0.565,Ethylene glycol/d/2010,0.4,0.9,0.58,0.78,0.5078,2.661,LSER Database for CompTox Users (2017)
135,fluorobenzene,462-06-6,977,,C6H5F,C1=CC=C(C=C1)F,0.181,-0.621,1.432,0.647,0.000,0.986,Fluorobenzene/wd,0.48,0.57,0,0.1,0.7341,2.788,LSER Database for CompTox Users (2017)
136,formamide,75-12-7,188,formic acid amide,CH3NO,C(=O)N,-0.800,0.310,2.292,4.130,1.933,0.442,Formamide,0.47,1.31,0.64,0.57,0.365,2.447,LSER Database for CompTox Users (2017)
140,iodobenzene,591-50-4,979,phenyl iodide,C6H5I,C1=CC=C(C=C1)I,-0.171,-0.192,1.197,0.245,0.245,1.002,Iodobenzene/wd,1.19,0.82,0,0.12,0.9746,4.502,LSER Database for CompTox Users (2017)
154,propyl ethanoate,109-60-4,850,"propyl acetate, acetic acid propyl ester",C5H10O2,CCCOC(=O)C,0.246,-0.346,1.318,2.537,0.000,0.916,Propyl acetate/2018,0.09,0.6,0,0.45,0.8875,2.819,LSER Database for CompTox Users (2017)
156,sulfolane,126-33-0,651,tetramethylene sulfone,C4H8O2S,C1CCS(=O)(=O)C1,-0.414,0.084,2.396,3.144,0.420,0.684,Sulfolane/d/2011,0.56,1.2,0,0.92,0.8445,3.905,LSER Database for CompTox Users (2017)
160,undecane,1120-21-4,1932,,C11H24,CCCCCCCCCCC,0.113,0.000,0.000,0.000,0.000,0.971,"Undecane, 2004",0,0,0,0,1.6585,5.191,LSER Database for CompTox Users (2017)
,,,,,,,62,,,,,,,,,,,,,
